2015.01.01,22:00,1.55783,1.55807,1.55783,1.55786,13
2015.01.01,22:05,1.55848,1.55871,1.55782,1.55792,262
2015.01.01,22:10,1.55801,1.55819,1.55793,1.55819,343
2015.01.01,22:15,1.55819,1.55838,1.55789,1.55823,265
2015.01.01,22:20,1.55824,1.55829,1.55802,1.55827,133
2015.01.01,22:25,1.55829,1.55845,1.55807,1.55839,422
2015.01.01,22:30,1.5584,1.5584,1.55824,1.55828,113
2015.01.01,22:35,1.55826,1.55828,1.55822,1.55828,96
2015.01.01,22:40,1.55828,1.5583,1.55823,1.55826,139
2015.01.01,22:45,1.55826,1.55827,1.55795,1.55795,119
2015.01.01,22:50,1.55795,1.55815,1.55733,1.55808,310
2015.01.01,22:55,1.55809,1.55814,1.55737,1.55789,803
2015.01.01,23:00,1.55782,1.55817,1.55777,1.55781,992
2015.01.01,23:05,1.55782,1.55782,1.55693,1.55757,603
2015.01.01,23:10,1.55756,1.55819,1.55756,1.55813,776
2015.01.01,23:15,1.55813,1.55815,1.55749,1.55794,810
2015.01.01,23:20,1.55791,1.55817,1.55745,1.55774,1286
2015.01.01,23:25,1.55772,1.55776,1.55684,1.5569,2921
2015.01.01,23:30,1.5569,1.55739,1.55682,1.55734,1085
2015.01.01,23:35,1.55733,1.55753,1.55699,1.557,904
2015.01.01,23:40,1.55701,1.55727,1.55699,1.55723,647
2015.01.01,23:45,1.55723,1.55745,1.55723,1.55734,434
2015.01.01,23:50,1.55739,1.55773,1.55735,1.55756,324
2015.01.01,23:55,1.55757,1.55807,1.55754,1.55786,647
2015.01.02,00:00,1.55786,1.55813,1.55775,1.55798,290
2015.01.02,00:05,1.55801,1.55821,1.5578,1.55801,367
2015.01.02,00:10,1.55803,1.55803,1.5575,1.55752,278
2015.01.02,00:15,1.55752,1.55771,1.55736,1.55757,488
2015.01.02,00:20,1.55756,1.55761,1.55735,1.55745,871
2015.01.02,00:25,1.55745,1.55746,1.55733,1.55733,495
2015.01.02,00:30,1.55733,1.55769,1.55721,1.55767,718
2015.01.02,00:35,1.55767,1.55767,1.55679,1.55689,719
2015.01.02,00:40,1.55688,1.55692,1.5563,1.55632,944
2015.01.02,00:45,1.55632,1.55639,1.55617,1.55631,416
2015.01.02,00:50,1.5563,1.55645,1.55626,1.55645,317
2015.01.02,00:55,1.55645,1.5567,1.55624,1.55634,392
2015.01.02,01:00,1.5564,1.55683,1.55613,1.55636,804
2015.01.02,01:05,1.55636,1.55664,1.55629,1.55651,668
2015.01.02,01:10,1.55651,1.55664,1.55632,1.55643,283
2015.01.02,01:15,1.55641,1.55643,1.55602,1.55602,627
2015.01.02,01:20,1.55603,1.55609,1.55553,1.5556,919
2015.01.02,01:25,1.55562,1.55564,1.555,1.55509,911
2015.01.02,01:30,1.55509,1.5551,1.55418,1.5542,677
2015.01.02,01:35,1.55421,1.55492,1.55419,1.55488,753
2015.01.02,01:40,1.55488,1.55529,1.55481,1.55524,888
2015.01.02,01:45,1.55524,1.55554,1.55508,1.55552,642
2015.01.02,01:50,1.55551,1.55552,1.55511,1.55513,332
2015.01.02,01:55,1.55513,1.55541,1.55512,1.55529,335
2015.01.02,02:00,1.55529,1.5556,1.55527,1.55554,395
2015.01.02,02:05,1.55552,1.55555,1.55508,1.5551,566
2015.01.02,02:10,1.5551,1.55519,1.55492,1.55498,360
2015.01.02,02:15,1.55498,1.55503,1.55406,1.55427,1003
2015.01.02,02:20,1.55428,1.55481,1.55425,1.55471,528
2015.01.02,02:25,1.55472,1.55513,1.55466,1.55493,862
2015.01.02,02:30,1.55493,1.55493,1.55474,1.55477,367
2015.01.02,02:35,1.55477,1.55495,1.5547,1.55482,667
2015.01.02,02:40,1.55483,1.555,1.55474,1.55491,464
2015.01.02,02:45,1.55491,1.55499,1.5544,1.55443,731
2015.01.02,02:50,1.55442,1.55457,1.5544,1.55457,661
2015.01.02,02:55,1.55456,1.55458,1.55447,1.55447,764
2015.01.02,03:00,1.55448,1.55451,1.55423,1.55441,748
2015.01.02,03:05,1.55441,1.55458,1.55436,1.55458,930
2015.01.02,03:10,1.55458,1.5546,1.55447,1.55447,305
2015.01.02,03:15,1.55451,1.55454,1.55422,1.55425,636
2015.01.02,03:20,1.55425,1.55454,1.55425,1.55449,418
2015.01.02,03:25,1.55449,1.55452,1.55417,1.55439,564
2015.01.02,03:30,1.55439,1.55451,1.55426,1.55433,573
2015.01.02,03:35,1.55433,1.55442,1.55424,1.55429,530
2015.01.02,03:40,1.55429,1.55516,1.55427,1.55498,820
2015.01.02,03:45,1.55498,1.55562,1.55493,1.55551,697
2015.01.02,03:50,1.55552,1.55556,1.5553,1.55535,509
2015.01.02,03:55,1.55532,1.55551,1.55532,1.55545,464
2015.01.02,04:00,1.55545,1.55569,1.55535,1.55561,685
2015.01.02,04:05,1.55564,1.55567,1.55551,1.55557,495
2015.01.02,04:10,1.55557,1.55559,1.5555,1.55557,333
2015.01.02,04:15,1.55557,1.55557,1.55545,1.55548,307
2015.01.02,04:20,1.55548,1.55563,1.55545,1.55549,419
2015.01.02,04:25,1.55549,1.55563,1.55525,1.55528,385
2015.01.02,04:30,1.55527,1.55527,1.55492,1.55495,339
2015.01.02,04:35,1.55494,1.55495,1.55432,1.55433,665
2015.01.02,04:40,1.55432,1.55446,1.5541,1.55434,627
2015.01.02,04:45,1.55434,1.55481,1.55432,1.55437,831
2015.01.02,04:50,1.55439,1.55445,1.55422,1.55422,314
2015.01.02,04:55,1.55422,1.55442,1.55417,1.55442,362
